Commit SHA, Old function signature, New function signature
a058b67d084b2dd6f32b149ad6aba39f2e880562, "export(port)", "export(instance, type, url)"
6501a548605ef9b1307bf2218e6ace58d4a59d07, "testSelect_multiInvokers()", "testSelect_multiInvokers(lbname)"
7c7d9b6ce111badbc2d12a6faecf5f9555083cb5, "register(url)", "register(service, url)"
7c7d9b6ce111badbc2d12a6faecf5f9555083cb5, "unregister(url)", "unregister(service, url)"
7c7d9b6ce111badbc2d12a6faecf5f9555083cb5, "subscribe(url, listener)", "subscribe(service, url, listener)"
7c7d9b6ce111badbc2d12a6faecf5f9555083cb5, "unsubscribe(url, listener)", "unsubscribe(service, url, listener)"
7c7d9b6ce111badbc2d12a6faecf5f9555083cb5, "getRegistered()", "getRegistered(service)"
7c7d9b6ce111badbc2d12a6faecf5f9555083cb5, "getSubscribed()", "getSubscribed(service)"
7c7d9b6ce111badbc2d12a6faecf5f9555083cb5, "getNotified()", "getNotified(service)"
04f93785289697d8cc059c8b0daf8d850ba2b63b, "decode(channel, input)", "decode(channel, is, readable, message)"
04f93785289697d8cc059c8b0daf8d850ba2b63b, "toString()", "toString(message, charset)"
1a71da597bef1c3ec34d7d578afd086488b65f49, "name2class(name)", "name2class(cl, name)"
1a71da597bef1c3ec34d7d578afd086488b65f49, "desc2class(desc)", "desc2class(cl, desc)"
1a71da597bef1c3ec34d7d578afd086488b65f49, "desc2classArray(desc)", "desc2classArray(cl, desc)"
0077d4d5614dd6ef25ef97dc43b7e0dae82a3b98, "newInstance()", "newInstance(loader)"
0077d4d5614dd6ef25ef97dc43b7e0dae82a3b98, "addField(code)", "addField(name, mod, type)"
0077d4d5614dd6ef25ef97dc43b7e0dae82a3b98, "addField(name, mod, type)", "addField(name, mod, type, def)"
0077d4d5614dd6ef25ef97dc43b7e0dae82a3b98, "addMethod(code)", "addMethod(name, mod, rt, pts, body)"
0077d4d5614dd6ef25ef97dc43b7e0dae82a3b98, "addMethod(name, mod, rt, pts, body)", "addMethod(name, mod, rt, pts, ets, body)"
0077d4d5614dd6ef25ef97dc43b7e0dae82a3b98, "addConstructor(code)", "addConstructor(mod, pts, body)"
0077d4d5614dd6ef25ef97dc43b7e0dae82a3b98, "addConstructor(mod, pts, body)", "addConstructor(mod, pts, ets, body)"
38788092a292b4ed0d63f95ff2c8b5d28fda7743, "initInvokers(url)", "initInvokers(url, invoker1Status, invoker2Status)"
022deac62c7d4da0dabb335a3c8b8df901f614cd, "assertObject(data)", "assertObject(data, type)"
022deac62c7d4da0dabb335a3c8b8df901f614cd, "getType()", "getType(methodName)"
de82243ea5f5308d08a047effdfebc782b6a90aa, "generalize(objs)", "generalize(pojo, history)"
de82243ea5f5308d08a047effdfebc782b6a90aa, "realize(objs, types)", "realize(pojo, type, genericType)"
de82243ea5f5308d08a047effdfebc782b6a90aa, "realize(pojo, type, genericType)", "realize(pojo, type, genericType, history)"
72332244bc8018a42dbb951838cb85897907c281, "select(invokers, invocation)", "select(loadbalance, invocation, invokers, selected)"
72332244bc8018a42dbb951838cb85897907c281, "doInvoke(invocation)", "doInvoke(invocation, invokers, loadbalance)"
72332244bc8018a42dbb951838cb85897907c281, "getExecutor()", "getExecutor(url)"
72332244bc8018a42dbb951838cb85897907c281, "receive(msg, remoteAddress)", "receive(context, channel, buffer, readable, bytes, offset, limit)"
72332244bc8018a42dbb951838cb85897907c281, "initClient()", "initClient(url)"
b410f37ceb3e6b6ccc323826228687b7c7525dc5, "parse(element, parserContext)", "parse(element, parserContext, beanClass, required)"
c78841b16a62a5e9bc6dfe505f49eb5bbed99f30, "getStatus()", "getStatus(url)"
c78841b16a62a5e9bc6dfe505f49eb5bbed99f30, "getStatus(url)", "getStatus(url, methodName)"
c78841b16a62a5e9bc6dfe505f49eb5bbed99f30, "removeStatus(url)", "removeStatus(url, methodName)"
96aee0c65c1b95984c7210938bb6080d3a695030, "testforbid()", "testforbid(registryDirectory)"
96aee0c65c1b95984c7210938bb6080d3a695030, "test_Notified1invokers()", "test_Notified1invokers(registryDirectory)"
96aee0c65c1b95984c7210938bb6080d3a695030, "test_Notified2invokers()", "test_Notified2invokers(registryDirectory)"
96aee0c65c1b95984c7210938bb6080d3a695030, "test_Notified3invokers()", "test_Notified3invokers(registryDirectory)"
099d639bc9ce1cb387d2e3db36fd1fde1ef45e49, "getServiceKey()", "getServiceKey(ps)"
dd28016d1f641e851d74a8ad8dd077e29bb0c332, "toIdentityString()", "toIdentityString(parameters)"
dd28016d1f641e851d74a8ad8dd077e29bb0c332, "toFullString()", "toFullString(parameters)"
dd28016d1f641e851d74a8ad8dd077e29bb0c332, "toParameterString()", "toParameterString(parameters)"
dd28016d1f641e851d74a8ad8dd077e29bb0c332, "buildString(u, p)", "buildString(u, p, parameters)"
d3f554dfc042d90334333cce3cc5c4ed36509750, "getMonitor()", "getMonitor(url)"
b13929b581395c9b345ebc347e49346c6962fad1, "decodeHeartbeatData(in)", "decodeHeartbeatData(channel, in)"
b13929b581395c9b345ebc347e49346c6962fad1, "decodeRequestData(in)", "decodeRequestData(channel, in)"
b13929b581395c9b345ebc347e49346c6962fad1, "decodeResponseData(in)", "decodeResponseData(channel, in)"
b13929b581395c9b345ebc347e49346c6962fad1, "encodeHeartbeatData(out, data)", "encodeHeartbeatData(channel, out, data)"
b13929b581395c9b345ebc347e49346c6962fad1, "encodeRequestData(out, data)", "encodeRequestData(channel, out, data)"
b13929b581395c9b345ebc347e49346c6962fad1, "encodeResponseData(out, data)", "encodeResponseData(channel, out, data)"
b6f3b12e92bc78ef1921377746edb7cd1d7206c9, "getExtension(name)", "getExtension(type, key)"
b6f3b12e92bc78ef1921377746edb7cd1d7206c9, "getExtension(type, key)", "getExtension(type, key, defaultValue)"
b6f3b12e92bc78ef1921377746edb7cd1d7206c9, "getMethodExtension(type, method, key)", "getMethodExtension(type, method, key, defaultValue)"
b6f3b12e92bc78ef1921377746edb7cd1d7206c9, "getDecodedParameter(key)", "getDecodedParameter(key, defaultValue)"
2cbe04261cc199ec73b2bc0cc2ffa866aeae53d9, "json(obj)", "json(obj, writer)"
2cbe04261cc199ec73b2bc0cc2ffa866aeae53d9, "json(obj, writer)", "json(obj, writer, writeClass)"
2cbe04261cc199ec73b2bc0cc2ffa866aeae53d9, "json(obj, writer, writeClass)", "json(obj, properties, writer, writeClass)"
2cbe04261cc199ec73b2bc0cc2ffa866aeae53d9, "getObject()", "getObject(index)"
2cbe04261cc199ec73b2bc0cc2ffa866aeae53d9, "nextToken()", "nextToken(expect)"
2cbe04261cc199ec73b2bc0cc2ffa866aeae53d9, "zzUnpackAction()", "zzUnpackAction(packed, offset, result)"
2cbe04261cc199ec73b2bc0cc2ffa866aeae53d9, "zzUnpackRowMap()", "zzUnpackRowMap(packed, offset, result)"
2cbe04261cc199ec73b2bc0cc2ffa866aeae53d9, "zzUnpackAttribute()", "zzUnpackAttribute(packed, offset, result)"
0cb06feb23c2d79b3e4896305059dbab1aa32df7, "getCtClass(c)", "getCtClass(pool, classname)"
9408683d48a3ed61b05814178803b9960adf99ea, "encodeEventData(out, data)", "encodeEventData(channel, out, data)"
b5e52a46b5b01bff0dd9412490d10a1f968d005d, "getProviders()", "getProviders(service)"
b5e52a46b5b01bff0dd9412490d10a1f968d005d, "getConsumers()", "getConsumers(service)"
b5e52a46b5b01bff0dd9412490d10a1f968d005d, "getRoutes()", "getRoutes(service)"
09ad607070c11cd18aba7f896174e4383243db82, "getServerSideCallbackServiceCacheKey(channel, instid)", "getServerSideCallbackServiceCacheKey(channel, interfaceClass, instid)"
09ad607070c11cd18aba7f896174e4383243db82, "getServerSideCallbackInvokerCacheKey(channel, instid)", "getServerSideCallbackInvokerCacheKey(channel, interfaceClass, instid)"
a5f3e360b31b1ea29cc8821e1e0307c36b1bc9b7, "serviceKey(url)", "serviceKey(port, serviceName, serviceVersion, serviceGroup)"
ca5abd0153c083ac46c98ab1dec2895417abb20f, "loadProperties()", "loadProperties(fileName, allowMultiFile)"
cfe19de02548fc95f6356601a7352c308ba5f4b0, "createChart(key, date, types, data, summary, path)", "createChart(key, service, method, date, types, data, summary, path)"
ce243d1689b54b8b3cb92a536edc0c8f00304eaf, "setLocalAddress(address)", "setLocalAddress(host, port)"
ce243d1689b54b8b3cb92a536edc0c8f00304eaf, "setRemoteAddress(address)", "setRemoteAddress(host, port)"
b98f883a21cd68da38fdc2bece224799ffddf546, "getProperty(key)", "getProperty(key, defaultValue)"
abd9d9ab82faa43c95cb99bf1655a3ee6cab8b29, "decodeResponseData(channel, in)", "decodeResponseData(channel, in, requestData)"
abd9d9ab82faa43c95cb99bf1655a3ee6cab8b29, "getFuture()", "getFuture(id)"
451ad63fba3ddde6f72e4b7ebb3dc31bd9d970f1, "findMessage(expectedMessage)", "findMessage(expectedLevel, expectedMessage)"
d317948f7ede4444ce3b21c1af908d22d546bb60, "getServer()", "getServer(url)"
d317948f7ede4444ce3b21c1af908d22d546bb60, "doInvoke(invocation, invokers, loadbalance)", "doInvoke(proxy, methodName, parameterTypes, arguments)"
4d352b9ae799486aa2142446985556012b5f635f, "keys()", "keys(map)"
f25697d581f1fa1985c53c82f6557a78e5572345, "getVersion()", "getVersion(cls, defaultVersion)"
26991c76532d9058a9e0bda9a2837d429906c17d, "readObject()", "readObject(cls)"
26991c76532d9058a9e0bda9a2837d429906c17d, "readObject(cls)", "readObject(cls, type)"
26991c76532d9058a9e0bda9a2837d429906c17d, "getRef()", "getRef(index)"
ef4a3e2d526167cb9e64c78e7663934af93d2b90, "writeBytes(b)", "writeBytes(b, off, len)"
fa5b5a4b7f0e9daa88d9b78995295c00316d4f2b, "getAttachment(key)", "getAttachment(key, defaultValue)"
9cad0201d6400e05fe4a1c114f8b6ac465d655de, "testDecode_assertEquals(request, ret)", "testDecode_assertEquals(request, ret, isServerside)"
9cad0201d6400e05fe4a1c114f8b6ac465d655de, "testDecode_assertEquals(request, ret, isServerside)", "testDecode_assertEquals(channel, request, expectret, channelReceive)"
eb41a3999867ae73bf9e89c808c65683d7664061, "getRegistry()", "getRegistry(url)"
880acbcb95a5b79a5cdda94ea48274d244100d92, "init()", "init(filterConfig)"
01ed30bb9398de7d4b2c4a8bd8c4a2bd6ace7bd0, "write(is, os)", "write(is, os, bufferSize)"
861c6e349d08fbbb669a254d0c0bc1127aa49f97, "loadProperties(fileName, allowMultiFile)", "loadProperties(fileName, allowMultiFile, allowEmptyFile)"
aa77655a61411440982affdf4ef03f07d526416e, "appendDependency(rows, afferent, application, level, appended)", "appendDependency(rows, reverse, application, level, appended, indirectly)"
1269229fc408c41e9dbabd6b42f352ca0ba95c81, "getMethodParameterAndDecoded(method, key)", "getMethodParameterAndDecoded(method, key, defaultValue)"
2cbd59c2471a03e1676d427c64bd3b57455663b4, "checkInvokers(invokers)", "checkInvokers(invokers, invocation)"
c690feb908cba1682e92ccbafda93bc0bb3a9ac9, "appendProperties(config, properties)", "appendProperties(config, properties, prefix)"
6cec66721bee68ffbe4c4f8b35bc04c639bb9d78, "exportOrunexportCallbackService(channel, clazz, inst, export)", "exportOrunexportCallbackService(channel, url, clazz, inst, export)"
6cec66721bee68ffbe4c4f8b35bc04c639bb9d78, "referOrdestroyCallbackService(channel, clazz, inv, instid, isRefer)", "referOrdestroyCallbackService(channel, url, clazz, inv, instid, isRefer)"
6cec66721bee68ffbe4c4f8b35bc04c639bb9d78, "isInstancesOverLimit(channel, interfaceClass, instid, isServer)", "isInstancesOverLimit(channel, url, interfaceClass, instid, isServer)"
ce46424c3bf21b1b59c8e08753cd9da7a49f1754, "getListener()", "getListener(protocol)"
ce46424c3bf21b1b59c8e08753cd9da7a49f1754, "register(service, url)", "register(service, url, listener)"
ce46424c3bf21b1b59c8e08753cd9da7a49f1754, "unregister(service, url)", "unregister(service, url, listener)"
7a7c43f82a01a3ef9fbbf4841566b826fb1bf615, "merge(directory)", "merge(r1, r2)"
7a7c43f82a01a3ef9fbbf4841566b826fb1bf615, "addAll(eles)", "addAll(result, c1, c2)"
cc94a115402866126bc217239e0f4ebd28349a77, "changed()", "changed(msg)"
2c735063a4ce5e463f14deda66ca14511b4ad27a, "update()", "update(parameter)"
efcae804a1cd67db809444860529754bb839cf70, "getObject(index)", "getObject(type, name)"
9729c6dce4fa75a0f82da1b4b540869f4c5af172, "getActivateExtension(url, key)", "getActivateExtension(url, key, group)"
9729c6dce4fa75a0f82da1b4b540869f4c5af172, "count(url)", "count(invoker, method)"
fd2bbb1e9ccf91e5931283a838edfce567a6fc58, "getCache()", "getCache(url, name)"
54b4ce2b9d1c0cbe0a0538f8027fc679e58317a3, "parseMockValue(mock)", "parseMockValue(mock, returnTypes)"
7ea5481db192d6858ea5f5ccfe245a71391f7604, "forName(name)", "forName(packages, className)"
7ea5481db192d6858ea5f5ccfe245a71391f7604, "getGenericClass(cls)", "getGenericClass(cls, i)"
7ea5481db192d6858ea5f5ccfe245a71391f7604, "getMethodName()", "getMethodName(method, parameterClasses, rightCode)"
9aaf87645341d8c00645248e6581f061da81d7ea, "getServices()", "getServices(jedis, service)"
9aaf87645341d8c00645248e6581f061da81d7ea, "doNotify(service, urls)", "doNotify(jedis, service, consumer)"
9aaf87645341d8c00645248e6581f061da81d7ea, "doNotify(jedis, service, consumer)", "doNotify(jedis, service, url, listener)"
a6a6b94dd352bb2a73788b312acf65c01773574f, "getService()", "getService(jedis, key)"
5230e313043e22087d045d2642b8dad22fb0403e, "getMerger()", "getMerger(returnType)"
36ce4efa746541f3253d4f751cd2aed392e0103a, "delete(id)", "delete(id, operator)"
cfad0541966e06e427052611aff2d3826419ebef, "getEmptyObject(returnType)", "getEmptyObject(returnType, emptyInstances, level)"
4e98f4433a22380e185b2897169bb3030a82990e, "createCache(url)", "createCache(url, invocation)"
09e9b9eba97f11b607d23f384bbccb2e538c8137, "route(invokers, invocation)", "route(invokers, url, invocation)"
12c0a9f94264c711cb0c7b81d8f309e2bc57416a, "doSelect(invokers, invocation)", "doSelect(invokers, url, invocation)"
b2df9e42aedbe593a54197c565a317427c066152, "getErrorString(e)", "getErrorString(msg, e)"
67416fc60156b8a31eb0beb2a219276a9955f6c8, "isExported()", "isExported(key)"
ceee2b8e1dadc298f83b9e51fb439c3425d8a17b, "loadRegistries()", "loadRegistries(provider)"
6f1d0fce8fbef72e4fd9e1674a01c462271e83ea, "hashCode()", "hashCode(object)"
e0ffd001d3941534ed3bcdd4db3827572ad59d18, "isAsync()", "isAsync(url, inv)"
6487ee88861b6cb1b503ac841f530b95a24f6b7f, "parseNested(nodeList, parserContext, beanClass, required, tag, property, ref)", "parseNested(element, parserContext, beanClass, required, tag, property, ref, beanDefinition)"
6af02440e03dffc48ba0f45ad49af7403e966b1c, "matchThen(url)", "matchThen(url, param)"
6af02440e03dffc48ba0f45ad49af7403e966b1c, "matchCondition(url, condition)", "matchCondition(condition, url, param)"
6af02440e03dffc48ba0f45ad49af7403e966b1c, "isMatchGlobPattern(pattern, value)", "isMatchGlobPattern(pattern, value, param)"
d56e59cbd2bbfb1311121c4dfe886a29898dd520, "doExport(ready)", "doExport(impl, type, url)"
a1cbbce40392ae92b332cee287a84bc1bbf7c8fc, "getPort()", "getPort(defaultPort)"
84644d0ab0a1e6ba149a4e0daeb3d1270b114a7a, "doConfigure(url)", "doConfigure(currentUrl, configUrl)"
980844bd53e3e15562cae053486e55d3f09460c4, "getClassLoader()", "getClassLoader(cls)"
bf0e83ec7a6ec7d5e07a0cd2538fc781d67581ba, "save(parameter)", "save(key, value, dest, log)"
6b10e90a95352e8b859a27686b1524ef47581d87, "mixin(ics, dc)", "mixin(ics, dc, cl)"
9144446e3e5d433ba794058aa0c99c740ba8d68f, "getBackupAddress()", "getBackupAddress(defaultPort)"
9144446e3e5d433ba794058aa0c99c740ba8d68f, "appendDefaultPort(address)", "appendDefaultPort(address, defaultPort)"
d0bd7ac1ac47af0b7bbeb7ae58a0340bc5c64632, "read(reader)", "read(b, off, len)"
cf18a37e1c1bd96230543dcf52090874d889e918, "getRandomPort()", "getRandomPort(protocol)"
b575549c4cad1bc82bac2f9527ea5fa1c18ec7d3, "setTestingChannelHandlers()", "setTestingChannelHandlers(instance)"
fbf13872e6f920e35ab614e11588b628017c412d, "getSerialization(channel)", "getSerialization(url, id)"
fbf13872e6f920e35ab614e11588b628017c412d, "deserialize(url, input)", "deserialize(serialization, url, is)"
2a14a8cb35c621fe2456bdbb70c5d6b34df60916, "buildString(u, p, parameters)", "buildString(u, p, s, parameters)"
89a27ce1ea4570bb32fbe47304543cc77d6a6fa4, "getArguments()", "getArguments(invocation)"
89a27ce1ea4570bb32fbe47304543cc77d6a6fa4, "getParameterTypes()", "getParameterTypes(invocation)"
783ae311a8198227da7c5adaccdcb212915a2d61, "buildString(u, p, s, parameters)", "buildString(appendUser, appendParameter, useIP, useService, parameters)"
8fda9c757058bce25d04f8e6b4afa62c38cb911e, "collect(invoker, invocation, context, start, error)", "collect(invoker, invocation, result, context, start, error)"
36a78cc63053705349691401b41d6d8c5d9a5966, "get(timeout)", "get(componentName, key)"
36a78cc63053705349691401b41d6d8c5d9a5966, "put(name, value)", "put(componentName, key, value)"
36a78cc63053705349691401b41d6d8c5d9a5966, "remove(key)", "remove(componentName, key)"
d5b7e3521ccbf12f7d5c478c1ba88102b4edbd03, "match()", "match(pattern, name)"
d5b7e3521ccbf12f7d5c478c1ba88102b4edbd03, "start()", "start(errors, iterations, trials, warmupTime, prewarm, groups, value)"
331b628511b53dc4612c0cee250bf8cb49fe496b, "destroy()", "destroy(referenceConfig)"
32506999fd32a07164e75bbaacd4238cff43a474, "isGeneric()", "isGeneric(generic)"
74c59db31ffad805615605eb4dc15a34483d3992, "findProviderUrl(id)", "findProviderUrl(service, address)"
74c59db31ffad805615605eb4dc15a34483d3992, "findRouteUrl(id)", "findRouteUrl(service, address, force)"
b963645de3a213b76e1167f7dc24ab300a363fe0, "filterFromCategory(urls, filter)", "filterFromCategory(urls, category, id)"
b963645de3a213b76e1167f7dc24ab300a363fe0, "getPath()", "getPath(url)"
b963645de3a213b76e1167f7dc24ab300a363fe0, "getAddress()", "getAddress(url)"
b963645de3a213b76e1167f7dc24ab300a363fe0, "getInterface()", "getInterface(service)"
b963645de3a213b76e1167f7dc24ab300a363fe0, "getGroup()", "getGroup(service)"
b963645de3a213b76e1167f7dc24ab300a363fe0, "formatDate(date)", "formatDate(date, template)"
b963645de3a213b76e1167f7dc24ab300a363fe0, "isProviderEnabled(provider)", "isProviderEnabled(provider, oList)"
7e54e18dcdaa65daadaa70a1dde0ed28bf52b5a5, "setWeight(weight)", "setWeight(id, factor)"
7e54e18dcdaa65daadaa70a1dde0ed28bf52b5a5, "getProviderWeight(provider)", "getProviderWeight(provider, oList)"
7e54e18dcdaa65daadaa70a1dde0ed28bf52b5a5, "add(ele)", "add(id, context)"
7e54e18dcdaa65daadaa70a1dde0ed28bf52b5a5, "update(parameter)", "update(newProvider, context)"
7e54e18dcdaa65daadaa70a1dde0ed28bf52b5a5, "route(invokers, url, invocation)", "route(serviceName, consumerAddress, consumerQueryUrl, providers, overrides, routes, clusters, routed)"
edbae2a7a352610e2118f36919adf95eb7ab70d7, "execute()", "execute(context)"
5495e3003f182a61855dbb41e54a4cb0f16a949e, "recover()", "recover(context)"
5495e3003f182a61855dbb41e54a4cb0f16a949e, "mock()", "mock(context, mock)"
bf0eee922ba995e78533ae7e8983518c4be247e8, "getAvailablePort()", "getAvailablePort(port)"
ed3a3b3ff1dafe77cc825b2a692b9780f7c6f0dc, "isServerSide()", "isServerSide(channel)"
23c53cffe4f967bb2845e52fb767fef8720c94a4, "checkDuplicate(cls)", "checkDuplicate(cls, failOnError)"
b25f1dc780bf8dfc2f10acc231f8230a4938c565, "trace(msg, e)", "trace(logger, msg, e)"
b25f1dc780bf8dfc2f10acc231f8230a4938c565, "debug(msg, e)", "debug(logger, msg, e)"
b25f1dc780bf8dfc2f10acc231f8230a4938c565, "info(msg, e)", "info(logger, msg, e)"
b25f1dc780bf8dfc2f10acc231f8230a4938c565, "warn(msg, e)", "warn(logger, msg, e)"
b25f1dc780bf8dfc2f10acc231f8230a4938c565, "error(msg, e)", "error(logger, msg, e)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "readerIndex()", "readerIndex(readerIndex)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "writerIndex()", "writerIndex(writerIndex)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "setIndex(index)", "setIndex(readerIndex, writerIndex)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "getBytes(index, dst)", "getBytes(index, dst, length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "setBytes(index, src)", "setBytes(index, src, length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "readBytes()", "readBytes(length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "readBytes(length)", "readBytes(dst, dstIndex, length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "copy()", "copy(index, length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "getBytes(index, dst, length)", "getBytes(index, dst, dstIndex, length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "setBytes(index, src, length)", "setBytes(index, src, srcIndex, length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "toByteBuffer()", "toByteBuffer(index, length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "getBuffer()", "getBuffer(capacity)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "getBuffer(capacity)", "getBuffer(array, offset, length)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "dynamicBuffer(capacity)", "dynamicBuffer(capacity, factory)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "buffer()", "buffer(capacity)"
5ed0e9fa90f1be28f4fdc6a0ed57f38232fbe023, "equals(obj)", "equals(bufferA, bufferB)"
105a0c7d11d6e96f6ba692751b805a4a522dbd32, "toClass()", "toClass(loader, pd)"
6b9452afb330194279e1998bc03a1159895c89e9, "readMap(in)", "readMap(in, obj)"
6b9452afb330194279e1998bc03a1159895c89e9, "readObject(cls, type)", "readObject(in, obj, fieldNames)"
b7c4e6e8311db954af33d8f8b46468b32342cc92, "matchWhen(url)", "matchWhen(url, invocation)"
b7c4e6e8311db954af33d8f8b46468b32342cc92, "matchCondition(condition, url, param)", "matchCondition(condition, url, param, invocation)"
a96d8ebd58cd9476e0746053b379dc26d17d8dc5, "getMessage()", "getMessage(key, args)"
7a0731b0562b6e0930e1ec6e96e65133e78f6079, "writeObject(obj)", "writeObject(obj, out)"
49525b0a83e7809a603f420d807b433b268dd2b4, "getMethodModel(method)", "getMethodModel(methodName, argTypes)"
2da49b573c6c847380badb93e44523ada106dbd3, "short2bytes(v)", "short2bytes(v, b)"
2da49b573c6c847380badb93e44523ada106dbd3, "short2bytes(v, b)", "short2bytes(v, b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "int2bytes(v)", "int2bytes(v, b)"
2da49b573c6c847380badb93e44523ada106dbd3, "int2bytes(v, b)", "int2bytes(v, b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "float2bytes(v)", "float2bytes(v, b)"
2da49b573c6c847380badb93e44523ada106dbd3, "float2bytes(v, b)", "float2bytes(v, b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "long2bytes(v)", "long2bytes(v, b)"
2da49b573c6c847380badb93e44523ada106dbd3, "long2bytes(v, b)", "long2bytes(v, b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "double2bytes(v)", "double2bytes(v, b)"
2da49b573c6c847380badb93e44523ada106dbd3, "double2bytes(v, b)", "double2bytes(v, b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "bytes2short(b)", "bytes2short(b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "bytes2int(b)", "bytes2int(b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "bytes2float(b)", "bytes2float(b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "bytes2long(b)", "bytes2long(b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "bytes2double(b)", "bytes2double(b, off)"
2da49b573c6c847380badb93e44523ada106dbd3, "bytes2hex(bs)", "bytes2hex(bs, off, len)"
2da49b573c6c847380badb93e44523ada106dbd3, "hex2bytes(str)", "hex2bytes(str, off, len)"
2da49b573c6c847380badb93e44523ada106dbd3, "bytes2base64(b)", "bytes2base64(b, offset, length)"
2da49b573c6c847380badb93e44523ada106dbd3, "bytes2base64(b, offset, length)", "bytes2base64(b, offset, length, code)"
2da49b573c6c847380badb93e44523ada106dbd3, "base642bytes(str)", "base642bytes(str, offset, length)"
2da49b573c6c847380badb93e44523ada106dbd3, "base642bytes(str, offset, length)", "base642bytes(str, off, len, code)"
2da49b573c6c847380badb93e44523ada106dbd3, "getMD5(str)", "getMD5(is, bs)"
2da49b573c6c847380badb93e44523ada106dbd3, "position()", "position(newPosition)"
2da49b573c6c847380badb93e44523ada106dbd3, "append(event)", "append(csq, start, end)"
