Commit SHA, Old function signature, New function signature
987553f1b89ea7d5c596ee9a95d0e929af7a7ad0, "appendParameters(parameters, config)", "appendParameters(parameters, config, prefix)"
987553f1b89ea7d5c596ee9a95d0e929af7a7ad0, "appendAttributes(parameters, config)", "appendAttributes(parameters, config, prefix)"
2b27696457822c18c518a646000ae3ce21bb699a, "getParameterAndDecoded(key)", "getParameterAndDecoded(key, defaultValue)"
2b27696457822c18c518a646000ae3ce21bb699a, "getParameter(key)", "getParameter(key, defaultValue)"
2b27696457822c18c518a646000ae3ce21bb699a, "getDoubleParameter(key)", "getDoubleParameter(key, defaultValue)"
2b27696457822c18c518a646000ae3ce21bb699a, "getIntParameter(key)", "getIntParameter(key, defaultValue)"
2b27696457822c18c518a646000ae3ce21bb699a, "getBooleanParameter(key)", "getBooleanParameter(key, defaultValue)"
2b27696457822c18c518a646000ae3ce21bb699a, "getMethodParameter(method, key)", "getMethodParameter(method, key, defaultValue)"
2b27696457822c18c518a646000ae3ce21bb699a, "getMethodIntParameter(method, key)", "getMethodIntParameter(method, key, defaultValue)"
2b27696457822c18c518a646000ae3ce21bb699a, "getMethodBooleanParameter(method, key)", "getMethodBooleanParameter(method, key, defaultValue)"
e354e8187ddaee1e60258c3e007f68f717543a34, "trace(msg)", "trace(msg, e)"
e354e8187ddaee1e60258c3e007f68f717543a34, "debug(msg)", "debug(msg, e)"
e354e8187ddaee1e60258c3e007f68f717543a34, "info(msg)", "info(msg, e)"
e354e8187ddaee1e60258c3e007f68f717543a34, "warn(msg)", "warn(msg, e)"
e354e8187ddaee1e60258c3e007f68f717543a34, "error(msg)", "error(msg, e)"
6ffe440029e8f1ba79698006cc2c5c4ac7850db5, "get()", "get(timeout)"
33a7e60f9b3641edc6e4064d160f6d6c79c0935f, "request(request)", "request(request, timeout)"
33a7e60f9b3641edc6e4064d160f6d6c79c0935f, "send()", "send(message)"
33a7e60f9b3641edc6e4064d160f6d6c79c0935f, "send(message)", "send(message, sent)"
33a7e60f9b3641edc6e4064d160f6d6c79c0935f, "close()", "close(timeout)"
2c9911de9dd428f380167328604167f238adb8ff, "getChannel()", "getChannel(remoteAddress)"
2c9911de9dd428f380167328604167f238adb8ff, "bind(url, listener)", "bind(url, handler, replier)"
2c9911de9dd428f380167328604167f238adb8ff, "connect(url, listener)", "connect(url, handler, replier)"
2c9911de9dd428f380167328604167f238adb8ff, "encode(value)", "encode(channel, output, message)"
2c9911de9dd428f380167328604167f238adb8ff, "decode(value)", "decode(channel, input)"
a058b67d084b2dd6f32b149ad6aba39f2e880562, "getProxy()", "getProxy(invoker, types)"
