Commit SHA, Old function signature, New function signature
06ec9acbb1ebb9b3f646ebdbab771010001a6979, "void resolve()", "com.thoughtworks.qdox.model.Type resolve(com.thoughtworks.qdox.model.JavaClass parentClass)"
06ec9acbb1ebb9b3f646ebdbab771010001a6979, "com.thoughtworks.qdox.model.Type resolve(com.thoughtworks.qdox.model.JavaClass parentClass)", "com.thoughtworks.qdox.model.Type resolve(com.thoughtworks.qdox.model.JavaClass parentClass, com.thoughtworks.qdox.model.JavaClass subclass)"
13c19a016aaf5c4433ed507988ca767944ee6d7a, "Type[] getParameterTypes()", "Type[] getParameterTypes(boolean resolve)"
13c19a016aaf5c4433ed507988ca767944ee6d7a, "Type[] getParameterTypes(boolean resolve)", "Type[] getParameterTypes(boolean resolve, com.thoughtworks.qdox.model.JavaClass callingClass)"
dabb2483bbc17a237bd0a6f7d6fc799c7f2e3b59, "void addParameter(com.thoughtworks.qdox.model.JavaParameter javaParameter)", "void addParameter(com.thoughtworks.qdox.model.JavaMethod method, com.thoughtworks.qdox.model.JavaParameter parameter)"
62ee4cff1d817288eddde1e832d6cb52cb53b7b2, "com.thoughtworks.qdox.model.JavaField newJavaField()", "com.thoughtworks.qdox.model.JavaField newJavaField(Type type, java.lang.String name)"
62ee4cff1d817288eddde1e832d6cb52cb53b7b2, "Type newType(java.lang.String typeName)", "Type newType(java.lang.String fullname, int dimensions)"
62ee4cff1d817288eddde1e832d6cb52cb53b7b2, "void setComment(java.lang.String comment)", "void setComment(com.thoughtworks.qdox.model.JavaField fld, java.lang.String comment)"
62ee4cff1d817288eddde1e832d6cb52cb53b7b2, "void setInitializationExpression(java.lang.String initializationExpression)", "void setInitializationExpression(com.thoughtworks.qdox.model.JavaField fld, java.lang.String expression)"
62ee4cff1d817288eddde1e832d6cb52cb53b7b2, "void setModifiers(java.lang.String[] modifiers)", "void setModifiers(com.thoughtworks.qdox.model.JavaField fld, java.lang.String[] modifiers)"
62ee4cff1d817288eddde1e832d6cb52cb53b7b2, "void setName(java.lang.String name)", "void setName(com.thoughtworks.qdox.model.JavaField fld, java.lang.String name)"
62ee4cff1d817288eddde1e832d6cb52cb53b7b2, "void setType(Type type)", "void setType(com.thoughtworks.qdox.model.JavaField fld, Type type)"
62ee4cff1d817288eddde1e832d6cb52cb53b7b2, "void addClass(com.thoughtworks.qdox.parser.structs.ClassDef def)", "void addClass(com.thoughtworks.qdox.model.JavaPackage pckg, com.thoughtworks.qdox.model.JavaClass clazz)"
cfccdcb9ecf0b8077bc791e83f2336a3755f34e7, "void setClassLibrary(ClassLibrary classLibrary)", "void setClassLibrary(com.thoughtworks.qdox.model.JavaSource source, ClassLibrary library)"
cfccdcb9ecf0b8077bc791e83f2336a3755f34e7, "void setPackage(java.lang.String packge)", "void setPackage(com.thoughtworks.qdox.model.JavaSource source, com.thoughtworks.qdox.model.JavaPackage pckg)"
cfccdcb9ecf0b8077bc791e83f2336a3755f34e7, "void addImport(java.lang.String importName)", "void addImport(com.thoughtworks.qdox.model.JavaSource source, java.lang.String imp)"
37270d0abca381d36c355d3612e1e20c37856fdb, "com.thoughtworks.qdox.model.JavaMethod newJavaMethod()", "com.thoughtworks.qdox.model.JavaMethod newJavaMethod(Type returns, java.lang.String name)"
37270d0abca381d36c355d3612e1e20c37856fdb, "com.thoughtworks.qdox.model.JavaParameter newJavaParameter(Type type, java.lang.String name)", "com.thoughtworks.qdox.model.JavaParameter newJavaParameter(Type type, java.lang.String name, boolean varArgs)"
37270d0abca381d36c355d3612e1e20c37856fdb, "void setExceptions(Type[] exceptions)", "void setExceptions(com.thoughtworks.qdox.model.JavaMethod method, Type[] exceptions)"
37270d0abca381d36c355d3612e1e20c37856fdb, "void setConstructor(boolean constructor)", "void setConstructor(com.thoughtworks.qdox.model.JavaMethod method, boolean isConstructor)"
37270d0abca381d36c355d3612e1e20c37856fdb, "void setReturns(Type returns)", "void setReturns(com.thoughtworks.qdox.model.JavaMethod method, Type type)"
37270d0abca381d36c355d3612e1e20c37856fdb, "void addMethod(com.thoughtworks.qdox.model.JavaMethod meth)", "void addMethod(com.thoughtworks.qdox.model.JavaClass clazz, com.thoughtworks.qdox.model.JavaMethod method)"
